0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1
2,2,3,3,3,3,3,2,2,3,2,3,3,3,3,3
7,0,7,7,2,1,2,5,5,5,5,2,7,0,7,4
2,2,3,2,1,2,3,2,3,3,2,2,2,1,2,3
2,4,5,1,4,2,1,3,1,2,1,3,2,2,5,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-1,3,1,0,4,4,3,1,2,1,4,3,-1,-1,2,-2
51,10,33,95,63,57,106,17,89,93,50,44,114,59,59,114
0.96924305319786,0.28281140327454,0.93205900192261,0.10117517709732,0.59875421524048,0.24738340377808,0.57773971557617,0.22883005142212,-1,0.64769372940063,0.46878190040588,0.62381165027618,0.75854490995407,0.39043843746185,0.48982000350952,0.62109863758087
