0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0
3,4,4,4,4,4,4,3,3,3,4,3,3,3,4,4
-4,7,4,-4,2,3,-4,-1,2,1,-3,-4,6,-3,0,1
1,1,2,3,1,1,1,1,2,2,1,3,3,2,2,2
2,4,3,5,3,5,2,5,4,3,4,3,5,5,5,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,1,3,1,0,1,2,1,0,4,4,1,3,2,4
68,7,127,68,30,119,28,103,125,26,65,28,65,96,99,110
0.98421072006226,0.001654326915741,0.54426679611206,0.67492362260818,0.83723278045654,0.10963249206543,0.70683927536011,0.33944416046143,0,0.21103817224503,0.020587503910065,0.62389044761658,0.2832245349884,0.30420397520065,0.00027847290039062,0.55019736289978
